HashBits,Threads,Throughput (MTPS)
1,1,0.137182
1,2,0.179198
1,4,0.130178
1,8,0.100976
1,16,0.095677
1,32,0.094961
2,1,0.135531
2,2,0.184861
2,4,0.142877
2,8,0.143677
2,16,0.161747
2,32,0.145891
3,1,0.135601
3,2,0.191844
3,4,0.170033
3,8,0.179830
3,16,0.175573
3,32,0.180748
4,1,0.135259
4,2,0.198157
4,4,0.181599
4,8,0.203881
4,16,0.200227
4,32,0.273222
5,1,0.133742
5,2,0.194574
5,4,0.233736
5,8,0.259696
5,16,0.276482
5,32,0.302273
6,1,0.133882
6,2,0.214738
6,4,0.258888
6,8,0.250540
6,16,0.312132
6,32,0.414645
7,1,0.128858
7,2,0.221854
7,4,0.339402
7,8,0.385130
7,16,0.435666
7,32,0.638210
8,1,0.141775
8,2,0.218804
8,4,0.356369
8,8,0.549271
8,16,0.635498
8,32,0.680580
9,1,0.143585
9,2,0.226895
9,4,0.366025
9,8,0.585587
9,16,0.654201
9,32,0.645881
10,1,0.135632
10,2,0.251063
10,4,0.387082
10,8,0.667111
10,16,0.673269
10,32,0.610838
11,1,0.135218
11,2,0.255238
11,4,0.383899
11,8,0.573323
11,16,0.634525
11,32,0.535306
12,1,0.133759
12,2,0.240983
12,4,0.365240
12,8,0.451977
12,16,0.533884
12,32,0.429982
13,1,0.126658
13,2,0.223817
13,4,0.312393
13,8,0.342960
13,16,0.423561
13,32,0.475104
14,1,0.122340
14,2,0.209062
14,4,0.285073
14,8,0.302614
14,16,0.395479
14,32,0.407422
15,1,0.113892
15,2,0.197541
15,4,0.231375
15,8,0.266334
15,16,0.318198
15,32,0.367532
16,1,0.091525
16,2,0.164214
16,4,0.205208
16,8,0.199734
16,16,0.288186
16,32,0.254160
17,1,0.072711
17,2,0.124746
17,4,0.164729
17,8,0.141727
17,16,0.180436
17,32,0.192149
18,1,0.063981
18,2,0.088148
18,4,0.108301
18,8,0.107057
18,16,0.140790
18,32,0.145846
