HashBits,Threads,Throughput (MTPS)
1,1,0.140903
1,2,0.371082
1,4,0.368531
1,8,0.308715
1,16,0.295063
1,32,0.284760
2,1,0.138100
2,2,0.342331
2,4,0.367228
2,8,0.314717
2,16,0.296774
2,32,0.281401
3,1,0.140403
3,2,0.370517
3,4,0.359358
3,8,0.326179
3,16,0.329078
3,32,0.304380
4,1,0.140773
4,2,0.373152
4,4,0.370977
4,8,0.352983
4,16,0.326891
4,32,0.293742
5,1,0.139309
5,2,0.366614
5,4,0.377233
5,8,0.359166
5,16,0.351438
5,32,0.312940
6,1,0.146639
6,2,0.396014
6,4,0.405919
6,8,0.357578
6,16,0.316401
6,32,0.305924
7,1,0.148839
7,2,0.396988
7,4,0.393198
7,8,0.369365
7,16,0.320047
7,32,0.292252
8,1,0.141245
8,2,0.383278
8,4,0.369633
8,8,0.347920
8,16,0.295528
8,32,0.278700
9,1,0.144376
9,2,0.388968
9,4,0.378841
9,8,0.340603
9,16,0.289418
9,32,0.284774
10,1,0.143930
10,2,0.383193
10,4,0.364939
10,8,0.317891
10,16,0.279463
10,32,0.261850
11,1,0.142157
11,2,0.357055
11,4,0.334860
11,8,0.300266
11,16,0.252691
11,32,0.279517
12,1,0.135419
12,2,0.319952
12,4,0.307238
12,8,0.260421
12,16,0.244013
12,32,0.257874
13,1,0.129531
13,2,0.294225
13,4,0.262160
13,8,0.232428
13,16,0.186661
13,32,0.177507
14,1,0.125603
14,2,0.248872
14,4,0.242685
14,8,0.204229
14,16,0.176744
14,32,0.164330
15,1,0.115354
15,2,0.221044
15,4,0.211484
15,8,0.177015
15,16,0.161874
15,32,0.158634
16,1,0.101374
16,2,0.178482
16,4,0.174803
16,8,0.159266
16,16,0.148149
16,32,0.151956
17,1,0.083404
17,2,0.136841
17,4,0.136936
17,8,0.124562
17,16,0.116707
17,32,0.104340
18,1,0.064905
18,2,0.103071
18,4,0.098996
18,8,0.091294
18,16,0.081416
18,32,0.066995
