HashBits,Threads,Throughput (MTPS)
1,1,0.137951
1,2,0.178725
1,4,0.167337
1,8,0.150367
1,16,0.091144
1,32,0.109485
2,1,0.141190
2,2,0.199495
2,4,0.231303
2,8,0.263793
2,16,0.177096
2,32,0.251477
3,1,0.136344
3,2,0.204571
3,4,0.241576
3,8,0.253966
3,16,0.318369
3,32,0.382712
4,1,0.145666
4,2,0.220655
4,4,0.234564
4,8,0.354023
4,16,0.466062
4,32,0.377207
5,1,0.139691
5,2,0.222892
5,4,0.258357
5,8,0.390936
5,16,0.420762
5,32,0.691701
6,1,0.148460
6,2,0.242989
6,4,0.365138
6,8,0.495197
6,16,0.796991
6,32,0.718900
7,1,0.140728
7,2,0.244595
7,4,0.436068
7,8,0.685552
7,16,0.722619
7,32,0.882011
8,1,0.147420
8,2,0.240903
8,4,0.431269
8,8,0.711987
8,16,1.142733
8,32,1.294071
9,1,0.148195
9,2,0.259452
9,4,0.457413
9,8,0.765519
9,16,1.343459
9,32,1.260275
10,1,0.145354
10,2,0.259768
10,4,0.447529
10,8,0.718575
10,16,0.973582
10,32,1.177208
11,1,0.141970
11,2,0.261192
11,4,0.459233
11,8,0.697117
11,16,0.869142
11,32,0.928538
12,1,0.133811
12,2,0.247560
12,4,0.427909
12,8,0.473176
12,16,0.538618
12,32,0.681305
13,1,0.130023
13,2,0.228255
13,4,0.355881
13,8,0.420258
13,16,0.414644
13,32,0.491327
14,1,0.124657
14,2,0.217451
14,4,0.331072
14,8,0.371141
14,16,0.357200
14,32,0.472038
15,1,0.115833
15,2,0.199679
15,4,0.285736
15,8,0.295431
15,16,0.297530
15,32,0.409537
16,1,0.097764
16,2,0.166671
16,4,0.214584
16,8,0.246684
16,16,0.216855
16,32,0.309953
17,1,0.079935
17,2,0.133112
17,4,0.182070
17,8,0.165846
17,16,0.149763
17,32,0.184438
18,1,0.063067
18,2,0.101967
18,4,0.124368
18,8,0.116125
18,16,0.103410
18,32,0.126528
