HashBits,Threads,Throughput (MTPS)
1,1,0.133380
1,2,0.170464
1,4,0.184210
1,8,0.126982
1,16,0.161921
1,32,0.155674
2,1,0.143985
2,2,0.180621
2,4,0.238057
2,8,0.232780
2,16,0.249485
2,32,0.255553
3,1,0.144336
3,2,0.210989
3,4,0.251605
3,8,0.282471
3,16,0.305912
3,32,0.278259
4,1,0.141282
4,2,0.200364
4,4,0.269670
4,8,0.296882
4,16,0.381036
4,32,0.283362
5,1,0.147200
5,2,0.223701
5,4,0.247146
5,8,0.405334
5,16,0.305512
5,32,0.362668
6,1,0.146616
6,2,0.240440
6,4,0.373116
6,8,0.452258
6,16,0.538812
6,32,0.410089
7,1,0.148644
7,2,0.249525
7,4,0.393885
7,8,0.599366
7,16,0.703476
7,32,0.732715
8,1,0.147995
8,2,0.252459
8,4,0.443552
8,8,0.666106
8,16,0.753645
8,32,0.723314
9,1,0.146675
9,2,0.254530
9,4,0.457524
9,8,0.742549
9,16,0.747239
9,32,0.736977
10,1,0.143464
10,2,0.266644
10,4,0.454122
10,8,0.761040
10,16,0.776937
10,32,0.652768
11,1,0.141455
11,2,0.261712
11,4,0.444262
11,8,0.694235
11,16,0.694805
11,32,0.606236
12,1,0.135165
12,2,0.248445
12,4,0.395878
12,8,0.502544
12,16,0.587377
12,32,0.477174
13,1,0.128601
13,2,0.226115
13,4,0.340825
13,8,0.386743
13,16,0.475376
13,32,0.403806
14,1,0.124271
14,2,0.215892
14,4,0.302847
14,8,0.345999
14,16,0.446238
14,32,0.484717
15,1,0.114882
15,2,0.198944
15,4,0.272267
15,8,0.306619
15,16,0.353071
15,32,0.388670
16,1,0.099611
16,2,0.168218
16,4,0.209871
16,8,0.218220
16,16,0.314554
16,32,0.318734
17,1,0.081262
17,2,0.133109
17,4,0.168537
17,8,0.162249
17,16,0.226593
17,32,0.221479
18,1,0.063875
18,2,0.101014
18,4,0.117880
18,8,0.110482
18,16,0.169061
18,32,0.157556
