HashBits,Threads,Throughput (MTPS)
1,1,0.140115
1,2,0.137524
1,4,0.132708
1,8,0.126923
1,16,0.129704
1,32,0.127631
2,1,0.141842
2,2,0.134835
2,4,0.130276
2,8,0.129038
2,16,0.129181
2,32,0.129456
3,1,0.139835
3,2,0.135535
3,4,0.130867
3,8,0.128632
3,16,0.134174
3,32,0.128913
4,1,0.142206
4,2,0.136419
4,4,0.131370
4,8,0.130829
4,16,0.134046
4,32,0.131601
5,1,0.147440
5,2,0.135937
5,4,0.131589
5,8,0.130114
5,16,0.129726
5,32,0.133372
6,1,0.148128
6,2,0.144889
6,4,0.135024
6,8,0.135681
6,16,0.130791
6,32,0.132282
7,1,0.146837
7,2,0.136607
7,4,0.137244
7,8,0.134535
7,16,0.136074
7,32,0.135503
8,1,0.147551
8,2,0.136541
8,4,0.134121
8,8,0.129359
8,16,0.134189
8,32,0.130148
9,1,0.144423
9,2,0.142597
9,4,0.138139
9,8,0.134827
9,16,0.131114
9,32,0.132692
10,1,0.144594
10,2,0.140864
10,4,0.130838
10,8,0.132225
10,16,0.134574
10,32,0.134547
11,1,0.141330
11,2,0.138860
11,4,0.129249
11,8,0.129073
11,16,0.129759
11,32,0.130106
12,1,0.135038
12,2,0.134031
12,4,0.120540
12,8,0.123582
12,16,0.121164
12,32,0.121983
13,1,0.129201
13,2,0.125953
13,4,0.116468
13,8,0.114121
13,16,0.117534
13,32,0.114883
14,1,0.125628
14,2,0.122111
14,4,0.109727
14,8,0.107825
14,16,0.110240
14,32,0.110118
15,1,0.112981
15,2,0.112393
15,4,0.103479
15,8,0.103361
15,16,0.102168
15,32,0.103153
16,1,0.097048
16,2,0.095637
16,4,0.091277
16,8,0.090002
16,16,0.089229
16,32,0.091678
17,1,0.082882
17,2,0.080274
17,4,0.075340
17,8,0.073496
17,16,0.073258
17,32,0.074482
18,1,0.065448
18,2,0.062556
18,4,0.059883
18,8,0.058921
18,16,0.058988
18,32,0.059980
