HashBits,Threads,Throughput (MTPS)
1,1,0.131866
1,2,0.156377
1,4,0.108651
1,8,0.082411
1,16,0.062901
1,32,0.058360
2,1,0.134601
2,2,0.133541
2,4,0.129972
2,8,0.140350
2,16,0.113373
2,32,0.135748
3,1,0.133291
3,2,0.195159
3,4,0.239754
3,8,0.188721
3,16,0.203145
3,32,0.166916
4,1,0.137105
4,2,0.122969
4,4,0.165986
4,8,0.222856
4,16,0.223017
4,32,0.206743
5,1,0.140094
5,2,0.213194
5,4,0.280390
5,8,0.242832
5,16,0.332668
5,32,0.390991
6,1,0.134126
6,2,0.164699
6,4,0.219207
6,8,0.279502
6,16,0.307866
6,32,0.409197
7,1,0.140362
7,2,0.241177
7,4,0.348548
7,8,0.517747
7,16,0.436340
7,32,0.856512
8,1,0.143290
8,2,0.202837
8,4,0.360697
8,8,0.549759
8,16,0.841873
8,32,0.908036
9,1,0.142726
9,2,0.240494
9,4,0.410377
9,8,0.618443
9,16,0.886388
9,32,0.954418
10,1,0.141030
10,2,0.257962
10,4,0.440122
10,8,0.615532
10,16,0.819698
10,32,0.850009
11,1,0.137842
11,2,0.209269
11,4,0.363183
11,8,0.543647
11,16,0.678261
11,32,0.729893
12,1,0.129459
12,2,0.233295
12,4,0.388843
12,8,0.453432
12,16,0.495921
12,32,0.598241
13,1,0.125665
13,2,0.176907
13,4,0.301600
13,8,0.357571
13,16,0.421234
13,32,0.445579
14,1,0.119727
14,2,0.210479
14,4,0.290375
14,8,0.286831
14,16,0.362431
14,32,0.347003
15,1,0.110872
15,2,0.192579
15,4,0.226364
15,8,0.242223
15,16,0.297527
15,32,0.259928
16,1,0.091606
16,2,0.161480
16,4,0.179758
16,8,0.204831
16,16,0.200769
16,32,0.255248
17,1,0.072382
17,2,0.110215
17,4,0.141116
17,8,0.155585
17,16,0.144725
17,32,0.150714
18,1,0.060447
18,2,0.094516
18,4,0.111506
18,8,0.103064
18,16,0.098288
18,32,0.121239
