HashBits,Threads,Throughput (MTPS)
1,1,0.168380
1,2,0.313225
1,4,0.495289
1,8,0.906928
1,16,1.154624
1,32,0.971706
2,1,0.174847
2,2,0.341761
2,4,0.571192
2,8,0.875666
2,16,1.014778
2,32,0.711100
3,1,0.173945
3,2,0.143486
3,4,0.554841
3,8,0.603129
3,16,0.786710
3,32,0.633759
4,1,0.105264
4,2,0.126878
4,4,0.102390
4,8,0.063057
4,16,0.063284
4,32,0.050735
5,1,0.039073
5,2,0.055818
5,4,0.042017
5,8,0.052071
5,16,0.072068
5,32,0.068130
6,1,0.040442
6,2,0.047968
6,4,0.049016
6,8,0.044615
6,16,0.055394
6,32,0.064242
7,1,0.040459
7,2,0.052365
7,4,0.050209
7,8,0.045302
7,16,0.069891
7,32,0.072492
8,1,0.039081
8,2,0.058223
8,4,0.048355
8,8,0.042994
8,16,0.070206
8,32,0.067667
9,1,0.040479
9,2,0.059569
9,4,0.047605
9,8,0.047783
9,16,0.072005
9,32,0.069303
10,1,0.041786
10,2,0.040161
10,4,0.049268
10,8,0.048417
10,16,0.067837
10,32,0.066817
11,1,0.035841
11,2,0.050734
11,4,0.048945
11,8,0.044151
11,16,0.072201
11,32,0.067517
12,1,0.038731
12,2,0.050865
12,4,0.053765
12,8,0.045573
12,16,0.072871
12,32,0.066879
13,1,0.040058
13,2,0.051415
13,4,0.044474
13,8,0.050435
13,16,0.064838
13,32,0.068114
14,1,0.042533
14,2,0.048518
14,4,0.044710
14,8,0.043141
14,16,0.071100
14,32,0.067796
15,1,0.037346
15,2,0.054024
15,4,0.050273
15,8,0.047574
15,16,0.069082
15,32,0.061142
16,1,0.038778
16,2,0.055353
16,4,0.047473
16,8,0.054401
16,16,0.068315
16,32,0.066547
17,1,0.041468
17,2,0.051093
17,4,0.050220
17,8,0.044756
17,16,0.063226
17,32,0.059221
18,1,0.041185
18,2,0.047111
18,4,0.053227
18,8,0.038703
18,16,0.042431
18,32,0.053024
