HashBits,Threads,Throughput (MTPS)
1,1,0.175392
1,2,0.484017
1,4,0.504617
1,8,0.420152
1,16,0.351379
1,32,0.346879
2,1,0.176146
2,2,0.518108
2,4,0.127242
2,8,0.494598
2,16,0.576655
2,32,0.430712
3,1,0.189683
3,2,0.534355
3,4,0.365994
3,8,0.385692
3,16,0.407020
3,32,0.395849
4,1,0.119339
4,2,0.146624
4,4,0.104142
4,8,0.068276
4,16,0.051111
4,32,0.052298
5,1,0.041813
5,2,0.061215
5,4,0.057973
5,8,0.058676
5,16,0.048050
5,32,0.044186
6,1,0.042526
6,2,0.061801
6,4,0.060379
6,8,0.056710
6,16,0.053033
6,32,0.038832
7,1,0.045002
7,2,0.056607
7,4,0.066456
7,8,0.058417
7,16,0.048156
7,32,0.053680
8,1,0.041415
8,2,0.057596
8,4,0.059476
8,8,0.053898
8,16,0.046711
8,32,0.047141
9,1,0.042812
9,2,0.050330
9,4,0.060237
9,8,0.062810
9,16,0.044119
9,32,0.048613
10,1,0.042519
10,2,0.060891
10,4,0.063102
10,8,0.053630
10,16,0.048898
10,32,0.045119
11,1,0.041589
11,2,0.060365
11,4,0.059850
11,8,0.057124
11,16,0.052784
11,32,0.047388
12,1,0.042684
12,2,0.059330
12,4,0.055950
12,8,0.058264
12,16,0.046871
12,32,0.049699
13,1,0.044417
13,2,0.063077
13,4,0.060802
13,8,0.058247
13,16,0.045871
13,32,0.044485
14,1,0.044512
14,2,0.062278
14,4,0.053148
14,8,0.060201
14,16,0.057315
14,32,0.041934
15,1,0.041035
15,2,0.053456
15,4,0.066392
15,8,0.053401
15,16,0.043584
15,32,0.043634
16,1,0.044327
16,2,0.052028
16,4,0.057698
16,8,0.059834
16,16,0.049111
16,32,0.043955
17,1,0.041647
17,2,0.058033
17,4,0.058168
17,8,0.056098
17,16,0.049029
17,32,0.043827
18,1,0.042039
18,2,0.059479
18,4,0.057115
18,8,0.054501
18,16,0.045655
18,32,0.039107
