HashBits,Threads,Throughput (MTPS)
1,1,0.162112
1,2,0.335145
1,4,0.623802
1,8,1.032367
1,16,1.304678
1,32,2.067338
2,1,0.183657
2,2,0.353474
2,4,0.632018
2,8,1.046797
2,16,1.052676
2,32,1.722441
3,1,0.187356
3,2,0.352923
3,4,0.585111
3,8,0.677224
3,16,0.568858
3,32,0.679503
4,1,0.103231
4,2,0.141801
4,4,0.112999
4,8,0.073111
4,16,0.059740
4,32,0.053424
5,1,0.041132
5,2,0.056939
5,4,0.046500
5,8,0.046957
5,16,0.047166
5,32,0.066173
6,1,0.043403
6,2,0.062621
6,4,0.055435
6,8,0.051970
6,16,0.046328
6,32,0.044574
7,1,0.041679
7,2,0.055871
7,4,0.052589
7,8,0.056321
7,16,0.047105
7,32,0.062046
8,1,0.042609
8,2,0.053698
8,4,0.055820
8,8,0.053296
8,16,0.048283
8,32,0.064218
9,1,0.042104
9,2,0.050782
9,4,0.050557
9,8,0.054601
9,16,0.044041
9,32,0.052798
10,1,0.043470
10,2,0.055759
10,4,0.056089
10,8,0.053228
10,16,0.046758
10,32,0.064053
11,1,0.040310
11,2,0.061776
11,4,0.064821
11,8,0.050332
11,16,0.048654
11,32,0.067171
12,1,0.040755
12,2,0.055722
12,4,0.044744
12,8,0.049996
12,16,0.045652
12,32,0.058846
13,1,0.036282
13,2,0.060989
13,4,0.051928
13,8,0.052272
13,16,0.045530
13,32,0.062368
14,1,0.044460
14,2,0.045823
14,4,0.051232
14,8,0.046379
14,16,0.050007
14,32,0.061725
15,1,0.041819
15,2,0.051028
15,4,0.054146
15,8,0.054563
15,16,0.045087
15,32,0.046607
16,1,0.044023
16,2,0.061421
16,4,0.051884
16,8,0.049501
16,16,0.047556
16,32,0.044251
17,1,0.040596
17,2,0.050977
17,4,0.052745
17,8,0.055508
17,16,0.043893
17,32,0.055776
18,1,0.037557
18,2,0.060694
18,4,0.054956
18,8,0.046339
18,16,0.043796
18,32,0.049658
