HashBits,Threads,Throughput (MTPS)
1,1,0.182265
1,2,0.334956
1,4,0.602659
1,8,1.017602
1,16,1.071855
1,32,0.945946
2,1,0.180656
2,2,0.326593
2,4,0.602303
2,8,0.274141
2,16,1.101281
2,32,0.979718
3,1,0.186939
3,2,0.347896
3,4,0.578031
3,8,0.637757
3,16,0.781981
3,32,0.671516
4,1,0.109075
4,2,0.138225
4,4,0.113284
4,8,0.079109
4,16,0.070309
4,32,0.062115
5,1,0.040757
5,2,0.057578
5,4,0.051814
5,8,0.054353
5,16,0.079277
5,32,0.073859
6,1,0.043694
6,2,0.050187
6,4,0.059632
6,8,0.053595
6,16,0.082511
6,32,0.075246
7,1,0.042907
7,2,0.061956
7,4,0.049626
7,8,0.051071
7,16,0.071809
7,32,0.064969
8,1,0.043373
8,2,0.052529
8,4,0.046818
8,8,0.049444
8,16,0.071844
8,32,0.072133
9,1,0.042911
9,2,0.055199
9,4,0.051527
9,8,0.049487
9,16,0.074392
9,32,0.056132
10,1,0.044259
10,2,0.060580
10,4,0.048140
10,8,0.052803
10,16,0.073020
10,32,0.077496
11,1,0.041934
11,2,0.050263
11,4,0.047936
11,8,0.053013
11,16,0.073336
11,32,0.082524
12,1,0.041569
12,2,0.053024
12,4,0.051547
12,8,0.051345
12,16,0.080250
12,32,0.069384
13,1,0.044490
13,2,0.063595
13,4,0.050639
13,8,0.052837
13,16,0.081139
13,32,0.074629
14,1,0.043227
14,2,0.045080
14,4,0.046202
14,8,0.049052
14,16,0.068710
14,32,0.070053
15,1,0.043720
15,2,0.059751
15,4,0.055733
15,8,0.052773
15,16,0.077534
15,32,0.074464
16,1,0.040494
16,2,0.048161
16,4,0.044543
16,8,0.050506
16,16,0.070363
16,32,0.073779
17,1,0.039730
17,2,0.047356
17,4,0.056682
17,8,0.052448
17,16,0.070449
17,32,0.065233
18,1,0.042409
18,2,0.052955
18,4,0.049547
18,8,0.046272
18,16,0.064127
18,32,0.057393
