HashBits,Threads,Throughput (MTPS)
1,1,0.188239
1,2,0.167536
1,4,0.160662
1,8,0.141460
1,16,0.137173
1,32,0.152804
2,1,0.176058
2,2,0.181806
2,4,0.163068
2,8,0.153793
2,16,0.155657
2,32,0.168567
3,1,0.191105
3,2,0.185721
3,4,0.155277
3,8,0.142261
3,16,0.130428
3,32,0.150115
4,1,0.114795
4,2,0.087453
4,4,0.061053
4,8,0.049159
4,16,0.043461
4,32,0.051261
5,1,0.040151
5,2,0.040004
5,4,0.034215
5,8,0.035507
5,16,0.031949
5,32,0.025269
6,1,0.041993
6,2,0.038668
6,4,0.037581
6,8,0.031580
6,16,0.028389
6,32,0.025955
7,1,0.040273
7,2,0.040363
7,4,0.037263
7,8,0.031415
7,16,0.030730
7,32,0.026616
8,1,0.039885
8,2,0.041433
8,4,0.036460
8,8,0.030651
8,16,0.033291
8,32,0.031146
9,1,0.041050
9,2,0.039304
9,4,0.035437
9,8,0.031910
9,16,0.033210
9,32,0.026107
10,1,0.038735
10,2,0.039545
10,4,0.035477
10,8,0.033292
10,16,0.029353
10,32,0.025864
11,1,0.040160
11,2,0.037618
11,4,0.035909
11,8,0.030180
11,16,0.031060
11,32,0.026474
12,1,0.040385
12,2,0.041122
12,4,0.036620
12,8,0.032286
12,16,0.032566
12,32,0.026523
13,1,0.041149
13,2,0.040517
13,4,0.035509
13,8,0.033582
13,16,0.030594
13,32,0.025617
14,1,0.040819
14,2,0.038664
14,4,0.035952
14,8,0.031997
14,16,0.030714
14,32,0.026048
15,1,0.041484
15,2,0.041485
15,4,0.036092
15,8,0.030624
15,16,0.030668
15,32,0.025978
16,1,0.039692
16,2,0.041740
16,4,0.036104
16,8,0.032645
16,16,0.031866
16,32,0.023322
17,1,0.039378
17,2,0.039445
17,4,0.036224
17,8,0.032942
17,16,0.030824
17,32,0.021894
18,1,0.037231
18,2,0.039154
18,4,0.035689
18,8,0.031515
18,16,0.029047
18,32,0.021539
