HashBits,Threads,Throughput (MTPS)
1,1,0.150473
1,2,0.310118
1,4,0.463977
1,8,0.795991
1,16,0.892623
1,32,1.328343
2,1,0.173903
2,2,0.339398
2,4,0.620064
2,8,0.904888
2,16,1.044276
2,32,0.960799
3,1,0.177461
3,2,0.161477
3,4,0.558990
3,8,0.623272
3,16,0.538950
3,32,0.519375
4,1,0.102172
4,2,0.132249
4,4,0.099021
4,8,0.065395
4,16,0.049199
4,32,0.043394
5,1,0.038839
5,2,0.046646
5,4,0.053963
5,8,0.049412
5,16,0.045816
5,32,0.061794
6,1,0.038259
6,2,0.049920
6,4,0.055747
6,8,0.046624
6,16,0.047440
6,32,0.058247
7,1,0.032552
7,2,0.052051
7,4,0.048052
7,8,0.048598
7,16,0.044558
7,32,0.059031
8,1,0.036940
8,2,0.050271
8,4,0.045724
8,8,0.047673
8,16,0.044050
8,32,0.042107
9,1,0.037744
9,2,0.057093
9,4,0.045286
9,8,0.053077
9,16,0.045189
9,32,0.062232
10,1,0.036760
10,2,0.052013
10,4,0.051486
10,8,0.054942
10,16,0.046965
10,32,0.057836
11,1,0.037228
11,2,0.055234
11,4,0.049996
11,8,0.048343
11,16,0.043432
11,32,0.056698
12,1,0.036113
12,2,0.060788
12,4,0.046361
12,8,0.048151
12,16,0.045184
12,32,0.043619
13,1,0.037631
13,2,0.051379
13,4,0.050577
13,8,0.045372
13,16,0.045909
13,32,0.054358
14,1,0.040962
14,2,0.049252
14,4,0.052328
14,8,0.045698
14,16,0.030273
14,32,0.061235
15,1,0.041299
15,2,0.055550
15,4,0.048681
15,8,0.048184
15,16,0.044266
15,32,0.058701
16,1,0.039185
16,2,0.051288
16,4,0.046410
16,8,0.045531
16,16,0.044581
16,32,0.051932
17,1,0.040273
17,2,0.048859
17,4,0.046529
17,8,0.046579
17,16,0.041868
17,32,0.054484
18,1,0.040666
18,2,0.044410
18,4,0.045059
18,8,0.046033
18,16,0.043306
18,32,0.045805
