HashBits,Threads,Throughput (MTPS)
1,1,0.138678
1,2,0.131238
1,4,0.093985
1,8,0.096183
1,16,0.055086
1,32,0.056871
2,1,0.138051
2,2,0.170580
2,4,0.151093
2,8,0.158091
2,16,0.099091
2,32,0.091221
3,1,0.140548
3,2,0.196840
3,4,0.187040
3,8,0.194874
3,16,0.183192
3,32,0.159676
4,1,0.138582
4,2,0.132632
4,4,0.195052
4,8,0.219066
4,16,0.229611
4,32,0.295817
5,1,0.141608
5,2,0.150942
5,4,0.197946
5,8,0.294030
5,16,0.332514
5,32,0.292289
6,1,0.137319
6,2,0.231443
6,4,0.297059
6,8,0.388059
6,16,0.339529
6,32,0.528707
7,1,0.136943
7,2,0.228908
7,4,0.334687
7,8,0.485158
7,16,0.443017
7,32,0.658553
8,1,0.138962
8,2,0.240515
8,4,0.350038
8,8,0.541824
8,16,0.650931
8,32,1.009808
9,1,0.147250
9,2,0.258429
9,4,0.403241
9,8,0.649466
9,16,0.935499
9,32,0.841705
10,1,0.144335
10,2,0.209234
10,4,0.388467
10,8,0.575322
10,16,0.784808
10,32,0.803945
11,1,0.140687
11,2,0.260480
11,4,0.386013
11,8,0.508118
11,16,0.659696
11,32,0.699764
12,1,0.134349
12,2,0.196952
12,4,0.328135
12,8,0.443112
12,16,0.536575
12,32,0.502857
13,1,0.127656
13,2,0.223491
13,4,0.301455
13,8,0.342743
13,16,0.382424
13,32,0.365543
14,1,0.119534
14,2,0.168452
14,4,0.255201
14,8,0.311081
14,16,0.337158
14,32,0.313055
15,1,0.111460
15,2,0.164677
15,4,0.241513
15,8,0.264311
15,16,0.263597
15,32,0.233343
16,1,0.089812
16,2,0.163627
16,4,0.200951
16,8,0.198080
16,16,0.214038
16,32,0.188654
17,1,0.077215
17,2,0.132047
17,4,0.153883
17,8,0.147766
17,16,0.139904
17,32,0.139852
18,1,0.059961
18,2,0.100542
18,4,0.110094
18,8,0.097414
18,16,0.098455
18,32,0.094723
