HashBits,Threads,Throughput (MTPS)
1,1,0.135141
1,2,0.165237
1,4,0.118819
1,8,0.096551
1,16,0.105548
1,32,0.099326
2,1,0.138752
2,2,0.196330
2,4,0.136319
2,8,0.142339
2,16,0.168671
2,32,0.143996
3,1,0.136675
3,2,0.201368
3,4,0.162612
3,8,0.191920
3,16,0.177815
3,32,0.217214
4,1,0.138417
4,2,0.166857
4,4,0.159556
4,8,0.183689
4,16,0.192434
4,32,0.270974
5,1,0.138818
5,2,0.156302
5,4,0.217161
5,8,0.296298
5,16,0.300295
5,32,0.245432
6,1,0.138951
6,2,0.163367
6,4,0.268030
6,8,0.346083
6,16,0.414286
6,32,0.424300
7,1,0.133057
7,2,0.225860
7,4,0.304779
7,8,0.518621
7,16,0.539147
7,32,0.479859
8,1,0.145490
8,2,0.256213
8,4,0.378124
8,8,0.651259
8,16,0.742139
8,32,0.692588
9,1,0.145740
9,2,0.215631
9,4,0.353250
9,8,0.574517
9,16,0.704716
9,32,0.696730
10,1,0.137884
10,2,0.254942
10,4,0.413925
10,8,0.625452
10,16,0.682836
10,32,0.744198
11,1,0.139994
11,2,0.259139
11,4,0.407618
11,8,0.585623
11,16,0.621305
11,32,0.682978
12,1,0.134606
12,2,0.205677
12,4,0.343124
12,8,0.478262
12,16,0.530006
12,32,0.555536
13,1,0.127255
13,2,0.187308
13,4,0.302648
13,8,0.376874
13,16,0.426022
13,32,0.489737
14,1,0.122603
14,2,0.214571
14,4,0.285072
14,8,0.323538
14,16,0.412419
14,32,0.387380
15,1,0.113279
15,2,0.181866
15,4,0.249926
15,8,0.263961
15,16,0.321459
15,32,0.344241
16,1,0.095951
16,2,0.136893
16,4,0.190362
16,8,0.202452
16,16,0.259897
16,32,0.239932
17,1,0.074857
17,2,0.128227
17,4,0.160199
17,8,0.130487
17,16,0.195593
17,32,0.202172
18,1,0.061978
18,2,0.090452
18,4,0.108482
18,8,0.097328
18,16,0.131921
18,32,0.135643
