HashBits,Threads,Throughput (MTPS)
1,1,0.140633
1,2,0.370249
1,4,0.362695
1,8,0.307361
1,16,0.343247
1,32,0.296451
2,1,0.139077
2,2,0.380299
2,4,0.366451
2,8,0.312966
2,16,0.334155
2,32,0.300241
3,1,0.141749
3,2,0.389762
3,4,0.370730
3,8,0.335415
3,16,0.302882
3,32,0.311525
4,1,0.140768
4,2,0.378624
4,4,0.379266
4,8,0.374604
4,16,0.306528
4,32,0.315781
5,1,0.142932
5,2,0.402020
5,4,0.385110
5,8,0.342149
5,16,0.323071
5,32,0.316681
6,1,0.142290
6,2,0.374120
6,4,0.388326
6,8,0.352851
6,16,0.310394
6,32,0.320934
7,1,0.144434
7,2,0.397060
7,4,0.394181
7,8,0.366035
7,16,0.337980
7,32,0.301649
8,1,0.146126
8,2,0.376710
8,4,0.387974
8,8,0.348345
8,16,0.304938
8,32,0.267745
9,1,0.142876
9,2,0.387804
9,4,0.361511
9,8,0.341309
9,16,0.301746
9,32,0.282465
10,1,0.145675
10,2,0.382792
10,4,0.365334
10,8,0.327189
10,16,0.293316
10,32,0.254815
11,1,0.141669
11,2,0.361303
11,4,0.333740
11,8,0.296277
11,16,0.267569
11,32,0.258412
12,1,0.135059
12,2,0.321536
12,4,0.301709
12,8,0.256975
12,16,0.217125
12,32,0.214655
13,1,0.129355
13,2,0.284284
13,4,0.260353
13,8,0.218559
13,16,0.189299
13,32,0.188187
14,1,0.126076
14,2,0.252386
14,4,0.242182
14,8,0.208794
14,16,0.189807
14,32,0.175751
15,1,0.115790
15,2,0.217182
15,4,0.213694
15,8,0.191841
15,16,0.176376
15,32,0.145718
16,1,0.101754
16,2,0.175015
16,4,0.170050
16,8,0.151631
16,16,0.131890
16,32,0.129655
17,1,0.082498
17,2,0.132803
17,4,0.135784
17,8,0.129532
17,16,0.134721
17,32,0.118023
18,1,0.065291
18,2,0.103227
18,4,0.102793
18,8,0.092210
18,16,0.080408
18,32,0.072055
