HashBits,Threads,Throughput (MTPS)
1,1,0.139216
1,2,0.171449
1,4,0.172586
1,8,0.163178
1,16,0.089154
1,32,0.120309
2,1,0.139230
2,2,0.200787
2,4,0.230147
2,8,0.228935
2,16,0.161309
2,32,0.240958
3,1,0.144105
3,2,0.202539
3,4,0.254431
3,8,0.240641
3,16,0.297601
3,32,0.306313
4,1,0.140557
4,2,0.212273
4,4,0.239231
4,8,0.321682
4,16,0.416209
4,32,0.381662
5,1,0.141648
5,2,0.222039
5,4,0.339684
5,8,0.340695
5,16,0.476112
5,32,0.515656
6,1,0.146354
6,2,0.227171
6,4,0.349601
6,8,0.527934
6,16,0.721545
6,32,0.706271
7,1,0.149062
7,2,0.243216
7,4,0.441868
7,8,0.604563
7,16,0.947307
7,32,0.954644
8,1,0.145134
8,2,0.250801
8,4,0.430853
8,8,0.712415
8,16,0.952741
8,32,1.223953
9,1,0.147105
9,2,0.258912
9,4,0.431576
9,8,0.716325
9,16,1.099126
9,32,1.333745
10,1,0.145975
10,2,0.268290
10,4,0.471883
10,8,0.749574
10,16,1.107938
10,32,1.180870
11,1,0.139678
11,2,0.256035
11,4,0.446396
11,8,0.641022
11,16,0.802204
11,32,0.993376
12,1,0.135196
12,2,0.247493
12,4,0.414123
12,8,0.515918
12,16,0.554606
12,32,0.661235
13,1,0.127694
13,2,0.228468
13,4,0.365933
13,8,0.455054
13,16,0.423032
13,32,0.542048
14,1,0.122084
14,2,0.217767
14,4,0.323691
14,8,0.324387
14,16,0.377141
14,32,0.436995
15,1,0.112130
15,2,0.198882
15,4,0.268903
15,8,0.281482
15,16,0.279135
15,32,0.325911
16,1,0.097966
16,2,0.162970
16,4,0.218384
16,8,0.226443
16,16,0.233046
16,32,0.336406
17,1,0.082636
17,2,0.133719
17,4,0.161515
17,8,0.151368
17,16,0.157254
17,32,0.153124
18,1,0.064354
18,2,0.100234
18,4,0.109090
18,8,0.118692
18,16,0.107877
18,32,0.104829
