HashBits,Threads,Throughput (MTPS)
1,1,0.139004
1,2,0.155663
1,4,0.112622
1,8,0.095562
1,16,0.101839
1,32,0.103593
2,1,0.138794
2,2,0.184922
2,4,0.160237
2,8,0.148150
2,16,0.162641
2,32,0.134218
3,1,0.140208
3,2,0.210907
3,4,0.147532
3,8,0.193257
3,16,0.135673
3,32,0.171028
4,1,0.140161
4,2,0.206520
4,4,0.180030
4,8,0.175389
4,16,0.210441
4,32,0.233323
5,1,0.141465
5,2,0.155773
5,4,0.225461
5,8,0.224293
5,16,0.258366
5,32,0.293464
6,1,0.141277
6,2,0.231605
6,4,0.240785
6,8,0.317294
6,16,0.375251
6,32,0.354321
7,1,0.141607
7,2,0.233388
7,4,0.326439
7,8,0.505840
7,16,0.556583
7,32,0.492528
8,1,0.146764
8,2,0.195078
8,4,0.369347
8,8,0.521906
8,16,0.577874
8,32,0.573639
9,1,0.143484
9,2,0.254880
9,4,0.400315
9,8,0.643277
9,16,0.640416
9,32,0.607941
10,1,0.142506
10,2,0.262036
10,4,0.459950
10,8,0.599624
10,16,0.599116
10,32,0.560059
11,1,0.138445
11,2,0.238065
11,4,0.359297
11,8,0.544436
11,16,0.546151
11,32,0.503857
12,1,0.134528
12,2,0.200387
12,4,0.341925
12,8,0.500605
12,16,0.470707
12,32,0.417746
13,1,0.126632
13,2,0.181041
13,4,0.287053
13,8,0.359035
13,16,0.461106
13,32,0.401403
14,1,0.122070
14,2,0.164386
14,4,0.271085
14,8,0.327299
14,16,0.324993
14,32,0.408463
15,1,0.103482
15,2,0.194171
15,4,0.248542
15,8,0.290926
15,16,0.339716
15,32,0.339132
16,1,0.093721
16,2,0.140926
16,4,0.198374
16,8,0.210441
16,16,0.274348
16,32,0.250451
17,1,0.079343
17,2,0.131836
17,4,0.156478
17,8,0.154243
17,16,0.184097
17,32,0.183211
18,1,0.056340
18,2,0.094289
18,4,0.103030
18,8,0.108777
18,16,0.133690
18,32,0.134989
