HashBits,Threads,Throughput (MTPS)
1,1,0.135376
1,2,0.096642
1,4,0.114803
1,8,0.097899
1,16,0.062371
1,32,0.061003
2,1,0.140052
2,2,0.104320
2,4,0.143241
2,8,0.131189
2,16,0.107623
2,32,0.106940
3,1,0.137808
3,2,0.120670
3,4,0.160747
3,8,0.165533
3,16,0.183644
3,32,0.182961
4,1,0.139098
4,2,0.129012
4,4,0.199783
4,8,0.238581
4,16,0.213689
4,32,0.237776
5,1,0.132069
5,2,0.136442
5,4,0.185145
5,8,0.252890
5,16,0.350740
5,32,0.338376
6,1,0.140973
6,2,0.228127
6,4,0.282822
6,8,0.416785
6,16,0.393849
6,32,0.582704
7,1,0.144364
7,2,0.187629
7,4,0.288879
7,8,0.472139
7,16,0.668944
7,32,0.656752
8,1,0.142838
8,2,0.197600
8,4,0.315312
8,8,0.606685
8,16,0.919489
8,32,0.921389
9,1,0.144635
9,2,0.254704
9,4,0.400848
9,8,0.633214
9,16,0.891130
9,32,0.916423
10,1,0.142603
10,2,0.262139
10,4,0.403193
10,8,0.585760
10,16,0.834388
10,32,0.879855
11,1,0.140014
11,2,0.247070
11,4,0.391384
11,8,0.550706
11,16,0.664910
11,32,0.740139
12,1,0.133769
12,2,0.198660
12,4,0.328033
12,8,0.449155
12,16,0.494306
12,32,0.611810
13,1,0.127059
13,2,0.228492
13,4,0.271131
13,8,0.323671
13,16,0.420973
13,32,0.453031
14,1,0.120039
14,2,0.171362
14,4,0.268689
14,8,0.306025
14,16,0.354581
14,32,0.404624
15,1,0.108953
15,2,0.177215
15,4,0.213207
15,8,0.260194
15,16,0.257219
15,32,0.297198
16,1,0.095054
16,2,0.161173
16,4,0.197464
16,8,0.196728
16,16,0.195358
16,32,0.261253
17,1,0.072962
17,2,0.113878
17,4,0.153140
17,8,0.148084
17,16,0.141004
17,32,0.152715
18,1,0.059647
18,2,0.085559
18,4,0.099458
18,8,0.096972
18,16,0.094271
18,32,0.101820
