HashBits,Threads,Throughput (MTPS)
1,1,0.140710
1,2,0.138650
1,4,0.132860
1,8,0.127895
1,16,0.130090
1,32,0.129671
2,1,0.141622
2,2,0.134239
2,4,0.134104
2,8,0.132293
2,16,0.132366
2,32,0.129349
3,1,0.139884
3,2,0.135631
3,4,0.132524
3,8,0.129649
3,16,0.133325
3,32,0.128940
4,1,0.142180
4,2,0.137234
4,4,0.131977
4,8,0.132126
4,16,0.134774
4,32,0.132591
5,1,0.147530
5,2,0.135909
5,4,0.131463
5,8,0.130884
5,16,0.130404
5,32,0.132797
6,1,0.146988
6,2,0.142281
6,4,0.134062
6,8,0.136901
6,16,0.132556
6,32,0.138234
7,1,0.143716
7,2,0.144277
7,4,0.134093
7,8,0.136865
7,16,0.135419
7,32,0.131535
8,1,0.146385
8,2,0.134709
8,4,0.134135
8,8,0.136116
8,16,0.131802
8,32,0.134086
9,1,0.144812
9,2,0.143632
9,4,0.129198
9,8,0.133753
9,16,0.134789
9,32,0.129621
10,1,0.143180
10,2,0.139503
10,4,0.131448
10,8,0.133180
10,16,0.133581
10,32,0.131715
11,1,0.140645
11,2,0.138901
11,4,0.129269
11,8,0.130068
11,16,0.129509
11,32,0.129661
12,1,0.136362
12,2,0.132990
12,4,0.123322
12,8,0.121109
12,16,0.122889
12,32,0.122437
13,1,0.128689
13,2,0.128813
13,4,0.115079
13,8,0.114020
13,16,0.116604
13,32,0.116372
14,1,0.124049
14,2,0.121080
14,4,0.112527
14,8,0.110479
14,16,0.111291
14,32,0.110649
15,1,0.116073
15,2,0.111974
15,4,0.103092
15,8,0.103420
15,16,0.102940
15,32,0.102257
16,1,0.100449
16,2,0.098010
16,4,0.092014
16,8,0.091911
16,16,0.091670
16,32,0.091928
17,1,0.080963
17,2,0.077638
17,4,0.073881
17,8,0.073522
17,16,0.074212
17,32,0.074742
18,1,0.064020
18,2,0.063369
18,4,0.059980
18,8,0.059871
18,16,0.060029
18,32,0.058932
