HashBits,Threads,Throughput (MTPS)
1,1,0.170148
1,2,0.313868
1,4,0.528667
1,8,0.880795
1,16,1.080291
1,32,1.029994
2,1,0.174180
2,2,0.129607
2,4,0.558578
2,8,0.884813
2,16,0.935644
2,32,1.044127
3,1,0.183139
3,2,0.343147
3,4,0.596038
3,8,0.639735
3,16,0.547873
3,32,0.430758
4,1,0.098002
4,2,0.127264
4,4,0.099820
4,8,0.071449
4,16,0.052431
4,32,0.039767
5,1,0.039318
5,2,0.050746
5,4,0.055882
5,8,0.047795
5,16,0.046613
5,32,0.038106
6,1,0.038923
6,2,0.054715
6,4,0.046893
6,8,0.045869
6,16,0.044844
6,32,0.042763
7,1,0.039370
7,2,0.054265
7,4,0.052758
7,8,0.044811
7,16,0.040653
7,32,0.043862
8,1,0.040441
8,2,0.050966
8,4,0.046326
8,8,0.052375
8,16,0.044527
8,32,0.044025
9,1,0.038886
9,2,0.049374
9,4,0.055686
9,8,0.042436
9,16,0.033559
9,32,0.046209
10,1,0.040401
10,2,0.053744
10,4,0.048983
10,8,0.049662
10,16,0.048762
10,32,0.044319
11,1,0.032494
11,2,0.054055
11,4,0.049940
11,8,0.045422
11,16,0.050889
11,32,0.044842
12,1,0.034918
12,2,0.047624
12,4,0.049063
12,8,0.047329
12,16,0.044358
12,32,0.037416
13,1,0.040129
13,2,0.053104
13,4,0.048910
13,8,0.048394
13,16,0.038242
13,32,0.044112
14,1,0.038793
14,2,0.052605
14,4,0.050841
14,8,0.047966
14,16,0.044303
14,32,0.043499
15,1,0.039571
15,2,0.052332
15,4,0.058481
15,8,0.047464
15,16,0.047262
15,32,0.043859
16,1,0.039100
16,2,0.050544
16,4,0.053602
16,8,0.048336
16,16,0.048027
16,32,0.044269
17,1,0.034460
17,2,0.051478
17,4,0.048667
17,8,0.049910
17,16,0.045539
17,32,0.041187
18,1,0.036481
18,2,0.050941
18,4,0.059146
18,8,0.044877
18,16,0.041953
18,32,0.038830
