HashBits,Threads,Throughput (MTPS)
1,1,0.146290
1,2,0.308289
1,4,0.479680
1,8,0.790277
1,16,1.147618
1,32,0.926298
2,1,0.167868
2,2,0.311716
2,4,0.591993
2,8,0.893885
2,16,1.122791
2,32,1.011867
3,1,0.180702
3,2,0.332000
3,4,0.543160
3,8,0.619287
3,16,0.609690
3,32,0.437788
4,1,0.096883
4,2,0.120808
4,4,0.101867
4,8,0.063380
4,16,0.059260
4,32,0.050395
5,1,0.040582
5,2,0.053769
5,4,0.046472
5,8,0.045985
5,16,0.054919
5,32,0.074004
6,1,0.040539
6,2,0.053202
6,4,0.047421
6,8,0.049824
6,16,0.071686
6,32,0.047508
7,1,0.042899
7,2,0.060890
7,4,0.036672
7,8,0.041915
7,16,0.051892
7,32,0.065720
8,1,0.038750
8,2,0.056432
8,4,0.046166
8,8,0.047759
8,16,0.070383
8,32,0.069177
9,1,0.040856
9,2,0.049413
9,4,0.044588
9,8,0.043720
9,16,0.064160
9,32,0.067474
10,1,0.038427
10,2,0.052145
10,4,0.045256
10,8,0.043520
10,16,0.051374
10,32,0.067328
11,1,0.039624
11,2,0.040104
11,4,0.045923
11,8,0.045834
11,16,0.066001
11,32,0.066523
12,1,0.039953
12,2,0.051338
12,4,0.046119
12,8,0.048114
12,16,0.069179
12,32,0.052027
13,1,0.040440
13,2,0.052966
13,4,0.047990
13,8,0.043876
13,16,0.053727
13,32,0.067828
14,1,0.039498
14,2,0.055024
14,4,0.050604
14,8,0.045466
14,16,0.069809
14,32,0.060470
15,1,0.042058
15,2,0.047316
15,4,0.044916
15,8,0.049654
15,16,0.072746
15,32,0.063082
16,1,0.038958
16,2,0.054428
16,4,0.050334
16,8,0.044148
16,16,0.057705
16,32,0.065180
17,1,0.038319
17,2,0.050515
17,4,0.047550
17,8,0.047127
17,16,0.065533
17,32,0.063302
18,1,0.037537
18,2,0.047396
18,4,0.045670
18,8,0.043295
18,16,0.062512
18,32,0.053718
