HashBits,Threads,Throughput (MTPS)
1,1,0.224453
1,2,0.499941
1,4,0.507805
1,8,0.495438
1,16,0.400714
1,32,0.295148
2,1,0.187285
2,2,0.561729
2,4,0.570320
2,8,0.513445
2,16,0.409629
2,32,0.350820
3,1,0.188319
3,2,0.536521
3,4,0.359708
3,8,0.424893
3,16,0.323771
3,32,0.304020
4,1,0.113704
4,2,0.142982
4,4,0.101657
4,8,0.071150
4,16,0.055270
4,32,0.049724
5,1,0.041459
5,2,0.058475
5,4,0.057498
5,8,0.056817
5,16,0.039180
5,32,0.049714
6,1,0.040483
6,2,0.066421
6,4,0.054477
6,8,0.060262
6,16,0.047103
6,32,0.043142
7,1,0.043669
7,2,0.060321
7,4,0.063208
7,8,0.054515
7,16,0.054303
7,32,0.043394
8,1,0.043813
8,2,0.060684
8,4,0.060285
8,8,0.063383
8,16,0.048137
8,32,0.049912
9,1,0.042426
9,2,0.060706
9,4,0.060111
9,8,0.056873
9,16,0.054936
9,32,0.044386
10,1,0.042529
10,2,0.059961
10,4,0.057523
10,8,0.059428
10,16,0.043987
10,32,0.048718
11,1,0.042254
11,2,0.062244
11,4,0.058585
11,8,0.051407
11,16,0.049346
11,32,0.050933
12,1,0.043382
12,2,0.053015
12,4,0.066775
12,8,0.046607
12,16,0.053810
12,32,0.043500
13,1,0.041281
13,2,0.061366
13,4,0.058066
13,8,0.059710
13,16,0.052396
13,32,0.043368
14,1,0.042511
14,2,0.063682
14,4,0.053754
14,8,0.054689
14,16,0.057131
14,32,0.047465
15,1,0.041562
15,2,0.061603
15,4,0.058476
15,8,0.054057
15,16,0.047076
15,32,0.041873
16,1,0.044373
16,2,0.055696
16,4,0.069496
16,8,0.055871
16,16,0.055183
16,32,0.042854
17,1,0.043391
17,2,0.053936
17,4,0.057534
17,8,0.052063
17,16,0.051359
17,32,0.042616
18,1,0.043445
18,2,0.054281
18,4,0.061041
18,8,0.053282
18,16,0.049641
18,32,0.039174
