HashBits,Threads,Throughput (MTPS)
1,1,0.181909
1,2,0.338336
1,4,0.600109
1,8,1.041464
1,16,1.444528
1,32,1.787599
2,1,0.177211
2,2,0.359551
2,4,0.626116
2,8,1.020952
2,16,1.112610
2,32,1.701452
3,1,0.185862
3,2,0.359719
3,4,0.591462
3,8,0.677980
3,16,0.539691
3,32,0.674724
4,1,0.113319
4,2,0.141349
4,4,0.114097
4,8,0.088163
4,16,0.058613
4,32,0.052420
5,1,0.040942
5,2,0.055097
5,4,0.050714
5,8,0.048910
5,16,0.045479
5,32,0.071672
6,1,0.042727
6,2,0.060787
6,4,0.055543
6,8,0.050691
6,16,0.048150
6,32,0.056817
7,1,0.042368
7,2,0.056514
7,4,0.055381
7,8,0.051675
7,16,0.045536
7,32,0.056738
8,1,0.042138
8,2,0.059633
8,4,0.055723
8,8,0.051930
8,16,0.045651
8,32,0.061396
9,1,0.041852
9,2,0.061318
9,4,0.057154
9,8,0.050470
9,16,0.047985
9,32,0.060236
10,1,0.044187
10,2,0.047074
10,4,0.060677
10,8,0.047184
10,16,0.045013
10,32,0.061048
11,1,0.042477
11,2,0.053539
11,4,0.059409
11,8,0.051523
11,16,0.049996
11,32,0.061537
12,1,0.041816
12,2,0.055585
12,4,0.056082
12,8,0.046459
12,16,0.047119
12,32,0.061652
13,1,0.043452
13,2,0.061690
13,4,0.047488
13,8,0.053950
13,16,0.047806
13,32,0.049810
14,1,0.041156
14,2,0.052431
14,4,0.046741
14,8,0.054697
14,16,0.047526
14,32,0.060124
15,1,0.042077
15,2,0.050380
15,4,0.050312
15,8,0.055767
15,16,0.047725
15,32,0.060415
16,1,0.042156
16,2,0.052793
16,4,0.052193
16,8,0.049307
16,16,0.049449
16,32,0.059592
17,1,0.042763
17,2,0.064521
17,4,0.059057
17,8,0.057542
17,16,0.046203
17,32,0.057945
18,1,0.043976
18,2,0.053566
18,4,0.047316
18,8,0.052802
18,16,0.044665
18,32,0.055292
