HashBits,Threads,Throughput (MTPS)
1,1,0.180994
1,2,0.335152
1,4,0.635857
1,8,0.797374
1,16,1.066439
1,32,0.919043
2,1,0.097891
2,2,0.343487
2,4,0.615265
2,8,0.949261
2,16,1.026817
2,32,0.850065
3,1,0.183710
3,2,0.352973
3,4,0.574890
3,8,0.657411
3,16,0.756892
3,32,0.582452
4,1,0.099953
4,2,0.129824
4,4,0.106939
4,8,0.065153
4,16,0.057153
4,32,0.053237
5,1,0.039327
5,2,0.056695
5,4,0.052061
5,8,0.049938
5,16,0.047756
5,32,0.075852
6,1,0.039424
6,2,0.056705
6,4,0.042339
6,8,0.048214
6,16,0.068811
6,32,0.073189
7,1,0.037990
7,2,0.053995
7,4,0.043005
7,8,0.047291
7,16,0.069039
7,32,0.071067
8,1,0.038922
8,2,0.052795
8,4,0.047437
8,8,0.051848
8,16,0.067854
8,32,0.068292
9,1,0.039246
9,2,0.052214
9,4,0.044448
9,8,0.046753
9,16,0.069538
9,32,0.069161
10,1,0.036577
10,2,0.058027
10,4,0.054780
10,8,0.048086
10,16,0.071109
10,32,0.071154
11,1,0.038516
11,2,0.052816
11,4,0.042819
11,8,0.050264
11,16,0.070418
11,32,0.075489
12,1,0.041284
12,2,0.050436
12,4,0.052313
12,8,0.049645
12,16,0.071609
12,32,0.067459
13,1,0.040326
13,2,0.042148
13,4,0.044327
13,8,0.046947
13,16,0.073867
13,32,0.071769
14,1,0.037526
14,2,0.049104
14,4,0.047298
14,8,0.052494
14,16,0.071326
14,32,0.066450
15,1,0.040873
15,2,0.051906
15,4,0.051396
15,8,0.046151
15,16,0.067538
15,32,0.070215
16,1,0.041119
16,2,0.045043
16,4,0.050322
16,8,0.042690
16,16,0.071167
16,32,0.063241
17,1,0.038773
17,2,0.058626
17,4,0.044517
17,8,0.049296
17,16,0.064087
17,32,0.062572
18,1,0.036392
18,2,0.048631
18,4,0.045005
18,8,0.048845
18,16,0.061402
18,32,0.053872
