HashBits,Threads,Throughput (MTPS)
1,1,0.179389
1,2,0.336813
1,4,0.495492
1,8,0.813510
1,16,1.276831
1,32,1.517801
2,1,0.170434
2,2,0.358860
2,4,0.567650
2,8,0.977536
2,16,1.360345
2,32,1.313937
3,1,0.188611
3,2,0.340215
3,4,0.577758
3,8,0.647334
3,16,0.521759
3,32,0.443576
4,1,0.105466
4,2,0.123501
4,4,0.103628
4,8,0.065274
4,16,0.050490
4,32,0.046433
5,1,0.039014
5,2,0.050143
5,4,0.044209
5,8,0.047603
5,16,0.042807
5,32,0.047050
6,1,0.035962
6,2,0.047659
6,4,0.041715
6,8,0.050787
6,16,0.048105
6,32,0.057914
7,1,0.038452
7,2,0.049849
7,4,0.046105
7,8,0.044878
7,16,0.049431
7,32,0.059292
8,1,0.037923
8,2,0.051345
8,4,0.051417
8,8,0.041520
8,16,0.047424
8,32,0.058302
9,1,0.036330
9,2,0.053356
9,4,0.046963
9,8,0.046197
9,16,0.044834
9,32,0.048300
10,1,0.040835
10,2,0.056605
10,4,0.051055
10,8,0.041570
10,16,0.045565
10,32,0.039878
11,1,0.041963
11,2,0.047291
11,4,0.047338
11,8,0.045908
11,16,0.045257
11,32,0.063565
12,1,0.037826
12,2,0.058181
12,4,0.049143
12,8,0.047482
12,16,0.044545
12,32,0.056436
13,1,0.037621
13,2,0.058785
13,4,0.056910
13,8,0.044275
13,16,0.044105
13,32,0.059463
14,1,0.034334
14,2,0.042318
14,4,0.041281
14,8,0.045189
14,16,0.045277
14,32,0.056678
15,1,0.037228
15,2,0.050298
15,4,0.044247
15,8,0.042399
15,16,0.043864
15,32,0.034573
16,1,0.037557
16,2,0.050612
16,4,0.048908
16,8,0.044385
16,16,0.045369
16,32,0.050187
17,1,0.038743
17,2,0.053298
17,4,0.049343
17,8,0.047568
17,16,0.042438
17,32,0.051385
18,1,0.038740
18,2,0.058269
18,4,0.048904
18,8,0.044418
18,16,0.044218
18,32,0.046561
