HashBits,Threads,Throughput (MTPS)
1,1,0.172442
1,2,0.177634
1,4,0.158453
1,8,0.142667
1,16,0.139831
1,32,0.114977
2,1,0.179409
2,2,0.176529
2,4,0.126515
2,8,0.151043
2,16,0.152759
2,32,0.156416
3,1,0.180191
3,2,0.175576
3,4,0.155884
3,8,0.149924
3,16,0.120973
3,32,0.098857
4,1,0.110898
4,2,0.087693
4,4,0.060405
4,8,0.047658
4,16,0.039932
4,32,0.038464
5,1,0.039142
5,2,0.040595
5,4,0.035916
5,8,0.032050
5,16,0.031079
5,32,0.024818
6,1,0.038890
6,2,0.040250
6,4,0.036444
6,8,0.035071
6,16,0.029789
6,32,0.026456
7,1,0.039325
7,2,0.040632
7,4,0.036485
7,8,0.031809
7,16,0.028868
7,32,0.025938
8,1,0.040887
8,2,0.039738
8,4,0.037041
8,8,0.034337
8,16,0.028835
8,32,0.027699
9,1,0.041181
9,2,0.040777
9,4,0.037184
9,8,0.034286
9,16,0.029944
9,32,0.026450
10,1,0.040680
10,2,0.041851
10,4,0.036383
10,8,0.030744
10,16,0.027461
10,32,0.027590
11,1,0.039598
11,2,0.042251
11,4,0.036877
11,8,0.031135
11,16,0.031270
11,32,0.025220
12,1,0.045272
12,2,0.038079
12,4,0.037875
12,8,0.034859
12,16,0.031733
12,32,0.025855
13,1,0.037821
13,2,0.041746
13,4,0.037163
13,8,0.033879
13,16,0.032258
13,32,0.025211
14,1,0.038889
14,2,0.039846
14,4,0.036828
14,8,0.033285
14,16,0.028739
14,32,0.024851
15,1,0.037999
15,2,0.039607
15,4,0.036936
15,8,0.031683
15,16,0.027377
15,32,0.025216
16,1,0.040794
16,2,0.040881
16,4,0.036973
16,8,0.034092
16,16,0.030904
16,32,0.023521
17,1,0.039286
17,2,0.040561
17,4,0.037099
17,8,0.033451
17,16,0.027272
17,32,0.024058
18,1,0.042320
18,2,0.039561
18,4,0.034833
18,8,0.030964
18,16,0.028257
18,32,0.022860
