HashBits,Threads,Throughput (MTPS)
1,1,11.190188
1,2,1.971935
1,4,0.933605
1,8,0.388846
1,16,0.325653
1,32,0.304410
2,1,11.691531
2,2,2.009206
2,4,1.049232
2,8,0.420080
2,16,0.414338
2,32,0.386875
3,1,11.853819
3,2,2.304132
3,4,1.111009
3,8,0.560837
3,16,0.482241
3,32,0.433525
4,1,11.790645
4,2,2.456592
4,4,1.210200
4,8,0.683671
4,16,0.624392
4,32,0.649208
5,1,11.935026
5,2,2.870651
5,4,1.530831
5,8,0.866541
5,16,0.885663
5,32,0.816869
6,1,11.751572
6,2,3.465616
6,4,1.947613
6,8,1.332688
6,16,1.278076
6,32,1.148396
7,1,11.834600
7,2,3.805088
7,4,2.552284
7,8,1.599284
7,16,1.547080
7,32,1.503459
8,1,12.897068
8,2,6.244692
8,4,3.223727
8,8,2.359153
8,16,2.277650
8,32,2.435715
9,1,11.765260
9,2,4.837251
9,4,3.907486
9,8,3.208707
9,16,2.992462
9,32,3.243689
10,1,12.411722
10,2,5.462183
10,4,4.573582
10,8,3.976096
10,16,3.776549
10,32,4.164550
11,1,12.135628
11,2,5.166917
11,4,4.508261
11,8,4.379473
11,16,4.327412
11,32,4.682832
12,1,10.153212
12,2,5.009518
12,4,4.267705
12,8,3.802325
12,16,4.591621
12,32,4.807115
13,1,9.753719
13,2,4.795266
13,4,4.263392
13,8,4.069905
13,16,4.476196
13,32,4.663766
14,1,8.873587
14,2,4.620624
14,4,4.244554
14,8,3.942813
14,16,4.595757
14,32,4.500875
15,1,8.185048
15,2,4.201910
15,4,4.140084
15,8,4.051109
15,16,4.217167
15,32,4.573666
16,1,6.940396
16,2,4.111250
16,4,3.920877
16,8,3.920723
16,16,4.141353
16,32,4.189131
17,1,5.336891
17,2,3.633734
17,4,3.488514
17,8,3.431650
17,16,3.503965
17,32,3.777448
18,1,3.926789
18,2,2.978779
18,4,2.871913
18,8,2.786990
18,16,2.946949
18,32,2.909302
