HashBits,Threads,Throughput (MTPS)
1,1,12.210310
1,2,2.330573
1,4,2.462781
1,8,2.408896
1,16,2.059240
1,32,2.022997
2,1,11.840765
2,2,3.586762
2,4,5.938560
2,8,3.287268
2,16,3.219731
2,32,3.221649
3,1,11.953429
3,2,4.766876
3,4,5.978823
3,8,4.710249
3,16,4.533071
3,32,4.542172
4,1,11.866056
4,2,5.683788
4,4,7.554068
4,8,5.567774
4,16,5.463167
4,32,5.219670
5,1,12.058072
5,2,6.608468
5,4,7.366808
5,8,6.289190
5,16,6.396929
5,32,5.983760
6,1,11.807770
6,2,7.637436
6,4,7.657847
6,8,7.347701
6,16,7.037199
6,32,6.709653
7,1,11.879165
7,2,7.951654
7,4,8.349685
7,8,8.303855
7,16,7.890169
7,32,7.539204
8,1,11.879306
8,2,8.649023
8,4,8.887388
8,8,8.922756
8,16,8.601411
8,32,8.519339
9,1,13.682137
9,2,11.783976
9,4,11.942865
9,8,11.981070
9,16,9.198701
9,32,9.109957
10,1,13.969992
10,2,11.585875
10,4,11.675832
10,8,12.059526
10,16,10.255674
10,32,10.455548
11,1,11.823406
11,2,8.732709
11,4,9.028938
11,8,9.284706
11,16,9.474362
11,32,9.760383
12,1,11.001463
12,2,7.817203
12,4,8.305924
12,8,8.140737
12,16,8.291668
12,32,8.532423
13,1,10.374735
13,2,6.773186
13,4,6.952846
13,8,7.015476
13,16,6.851145
13,32,6.988609
14,1,9.238473
14,2,5.926031
14,4,6.007666
14,8,6.009074
14,16,6.127601
14,32,6.144771
15,1,8.438676
15,2,5.313101
15,4,5.493147
15,8,5.325523
15,16,5.475762
15,32,5.504729
16,1,7.201342
16,2,4.470732
16,4,4.569152
16,8,4.478160
16,16,4.616976
16,32,4.683292
17,1,5.508033
17,2,3.388578
17,4,3.482973
17,8,3.455461
17,16,3.433677
17,32,3.498889
18,1,4.081666
18,2,2.694495
18,4,2.697090
18,8,2.684196
18,16,2.723467
18,32,2.738503
