HashBits,Threads,Throughput (MTPS)
1,1,11.177555
1,2,2.590888
1,4,1.462448
1,8,0.556765
1,16,0.218189
1,32,0.196469
2,1,11.862115
2,2,3.200748
2,4,1.653382
2,8,0.708002
2,16,0.295571
2,32,0.292028
3,1,11.967449
3,2,3.436119
3,4,1.800543
3,8,0.792222
3,16,0.400590
3,32,0.374448
4,1,11.950001
4,2,3.718108
4,4,1.925792
4,8,1.080280
4,16,0.513849
4,32,0.600142
5,1,12.008694
5,2,4.390182
5,4,2.461102
5,8,1.373266
5,16,0.712287
5,32,0.764780
6,1,11.820610
6,2,5.187475
6,4,3.135415
6,8,1.994774
6,16,0.973750
6,32,1.102625
7,1,11.989545
7,2,5.757417
7,4,3.959283
7,8,2.405014
7,16,1.475409
7,32,1.448434
8,1,13.806624
8,2,7.038784
8,4,5.009920
8,8,3.294101
8,16,1.695956
8,32,2.199083
9,1,13.762731
9,2,7.849232
9,4,6.133427
9,8,4.478922
9,16,2.282198
9,32,3.003265
10,1,13.709711
10,2,8.838998
10,4,6.862711
10,8,5.692751
10,16,3.046709
10,32,3.618154
11,1,12.733987
11,2,8.558347
11,4,7.202950
11,8,6.355744
11,16,3.252255
11,32,3.891671
12,1,11.199212
12,2,7.999296
12,4,6.367683
12,8,5.338544
12,16,3.467286
12,32,4.234668
13,1,10.367421
13,2,7.709684
13,4,6.454819
13,8,5.681269
13,16,3.481409
13,32,4.338922
14,1,9.523537
14,2,6.891751
14,4,6.030599
14,8,5.817200
14,16,3.472451
14,32,4.199510
15,1,8.007559
15,2,6.784905
15,4,6.212685
15,8,5.683497
15,16,3.354073
15,32,4.158713
16,1,7.041113
16,2,6.337216
16,4,5.573981
16,8,5.251991
16,16,3.213285
16,32,3.920416
17,1,5.454347
17,2,5.253591
17,4,5.080991
17,8,4.756424
17,16,2.787767
17,32,3.207596
18,1,4.049436
18,2,3.964918
18,4,3.920600
18,8,3.704115
18,16,2.307492
18,32,2.558094
