HashBits,Threads,Throughput (MTPS)
1,1,11.274211
1,2,1.885793
1,4,0.938589
1,8,0.371744
1,16,0.356926
1,32,0.334871
2,1,11.748120
2,2,3.226608
2,4,1.083219
2,8,0.446540
2,16,0.439924
2,32,0.417958
3,1,11.826762
3,2,2.031748
3,4,1.133775
3,8,0.503468
3,16,0.515193
3,32,0.476606
4,1,11.832359
4,2,2.441335
4,4,1.268913
4,8,0.624710
4,16,0.629718
4,32,0.644391
5,1,11.914975
5,2,2.676903
5,4,1.921532
5,8,0.856453
5,16,1.017709
5,32,0.910152
6,1,11.734197
6,2,3.379429
6,4,1.884293
6,8,1.213653
6,16,1.346927
6,32,1.294333
7,1,11.661264
7,2,3.767472
7,4,2.425313
7,8,1.622247
7,16,1.789770
7,32,1.557334
8,1,11.617910
8,2,4.661918
8,4,3.299927
8,8,2.350342
8,16,2.320401
8,32,2.268170
9,1,12.185611
9,2,7.077491
9,4,4.077671
9,8,3.215796
9,16,3.221836
9,32,3.091161
10,1,12.427764
10,2,5.329496
10,4,4.529334
10,8,3.810061
10,16,3.910359
10,32,3.996675
11,1,11.462106
11,2,7.233064
11,4,4.475474
11,8,3.932704
11,16,4.214679
11,32,4.376310
12,1,10.952423
12,2,5.093206
12,4,4.402823
12,8,4.000304
12,16,4.455772
12,32,4.621136
13,1,9.735297
13,2,4.912677
13,4,4.391319
13,8,4.112248
13,16,4.447528
13,32,4.505824
14,1,8.954475
14,2,4.708231
14,4,4.320924
14,8,4.059875
14,16,4.350720
14,32,4.469673
15,1,8.111616
15,2,4.407578
15,4,4.198646
15,8,3.948605
15,16,4.235493
15,32,4.321932
16,1,6.945216
16,2,4.163735
16,4,4.143893
16,8,3.731427
16,16,4.001457
16,32,4.093144
17,1,5.406136
17,2,3.691890
17,4,3.520346
17,8,3.370442
17,16,3.550065
17,32,3.667544
18,1,4.017484
18,2,3.069132
18,4,2.920339
18,8,2.238398
18,16,2.937280
18,32,2.990243
