HashBits,Threads,Throughput (MTPS)
1,1,12.316333
1,2,10.720527
1,4,11.243156
1,8,11.781755
1,16,11.080824
1,32,12.873989
2,1,11.759864
2,2,11.219567
2,4,11.255811
2,8,11.371002
2,16,12.163231
2,32,12.791159
3,1,11.947146
3,2,11.763184
3,4,12.133272
3,8,12.012733
3,16,12.389578
3,32,13.675775
4,1,11.871550
4,2,11.974757
4,4,11.767752
4,8,12.137543
4,16,12.536355
4,32,13.363446
5,1,12.043114
5,2,11.938160
5,4,12.028628
5,8,12.358495
5,16,12.305875
5,32,13.471279
6,1,11.808327
6,2,11.864507
6,4,11.909157
6,8,11.954573
6,16,12.186057
6,32,12.831370
7,1,11.914691
7,2,11.910150
7,4,11.997457
7,8,11.899237
7,16,12.360481
7,32,13.118711
8,1,13.714223
8,2,13.859630
8,4,13.912656
8,8,14.464244
8,16,12.405563
8,32,13.266470
9,1,13.754401
9,2,13.857325
9,4,13.830876
9,8,14.156686
9,16,12.518151
9,32,13.138360
10,1,13.859053
10,2,14.099003
10,4,14.020723
10,8,14.214439
10,16,12.725075
10,32,13.991689
11,1,11.725941
11,2,11.315545
11,4,11.516094
11,8,11.683198
11,16,11.813349
11,32,12.972524
12,1,11.057666
12,2,11.093854
12,4,11.199462
12,8,11.111481
12,16,11.285281
12,32,11.888062
13,1,10.298237
13,2,10.295586
13,4,10.477348
13,8,10.434383
13,16,10.720297
13,32,10.645999
14,1,9.403357
14,2,9.417615
14,4,9.458590
14,8,9.601536
14,16,9.654187
14,32,9.731129
15,1,8.502823
15,2,8.502823
15,4,8.513247
15,8,8.582365
15,16,8.911068
15,32,9.257545
16,1,7.188918
16,2,7.200305
16,4,7.217246
16,8,7.259686
16,16,7.552072
16,32,7.686927
17,1,5.531494
17,2,5.511069
17,4,5.475822
17,8,5.467977
17,16,5.639204
17,32,5.781416
18,1,4.116666
18,2,4.142571
18,4,4.154308
18,8,4.163544
18,16,4.202210
18,32,4.299448
