HashBits,Threads,Throughput (MTPS)
1,1,11.215289
1,2,1.929232
1,4,0.861165
1,8,0.570157
1,16,0.142469
1,32,0.139177
2,1,11.725529
2,2,1.979927
2,4,1.035127
2,8,0.476639
2,16,0.205801
2,32,0.196864
3,1,11.882694
3,2,2.122511
3,4,1.246050
3,8,0.527593
3,16,0.246727
3,32,0.235953
4,1,11.851571
4,2,2.198745
4,4,1.200394
4,8,0.621037
4,16,0.322016
4,32,0.375451
5,1,11.891313
5,2,2.430671
5,4,1.784016
5,8,0.811712
5,16,0.459435
5,32,0.485528
6,1,11.629665
6,2,3.064833
6,4,1.859178
6,8,1.215847
6,16,0.668676
6,32,0.666718
7,1,11.687705
7,2,3.724381
7,4,2.577326
7,8,1.517207
7,16,0.842118
7,32,0.899174
8,1,12.335932
8,2,4.338282
8,4,3.878224
8,8,2.231829
8,16,1.314116
8,32,1.595550
9,1,12.425293
9,2,4.873176
9,4,3.723230
9,8,2.969730
9,16,2.044509
9,32,2.265462
10,1,12.129887
10,2,5.189279
10,4,4.501807
10,8,3.796723
10,16,2.661132
10,32,3.174734
11,1,12.040359
11,2,5.243893
11,4,4.473773
11,8,3.964871
11,16,3.231153
11,32,3.626789
12,1,10.254307
12,2,5.011527
12,4,4.338847
12,8,3.852718
12,16,3.606762
12,32,3.864764
13,1,9.669871
13,2,6.513555
13,4,4.309268
13,8,3.964793
13,16,3.692639
13,32,4.156069
14,1,8.982143
14,2,4.686365
14,4,4.315404
14,8,3.881430
14,16,3.662923
14,32,3.933431
15,1,8.113459
15,2,4.402552
15,4,4.157883
15,8,3.828088
15,16,3.616741
15,32,3.882998
16,1,6.975349
16,2,4.162088
16,4,3.960145
16,8,3.699963
16,16,3.524776
16,32,3.580098
17,1,5.123817
17,2,3.668850
17,4,3.501634
17,8,3.319183
17,16,3.194041
17,32,3.340170
18,1,3.128657
18,2,3.055254
18,4,2.898542
18,8,2.829631
18,16,2.635588
18,32,2.815997
