HashBits,Threads,Throughput (MTPS)
1,1,15.183954
1,2,11.619260
1,4,12.730096
1,8,13.242928
1,16,13.327114
1,32,14.577047
2,1,14.706964
2,2,12.434254
2,4,11.448066
2,8,13.268231
2,16,13.690941
2,32,15.578508
3,1,15.959399
3,2,11.283625
3,4,11.691257
3,8,13.146824
3,16,13.220343
3,32,15.000375
4,1,15.660481
4,2,13.530335
4,4,11.559090
4,8,11.780367
4,16,13.932428
4,32,14.249277
5,1,27.640344
5,2,25.205424
5,4,23.929170
5,8,27.407022
5,16,24.948855
5,32,26.855010
6,1,28.503834
6,2,23.147077
6,4,22.444170
6,8,23.970468
6,16,13.200449
6,32,15.700066
7,1,20.090003
7,2,22.990620
7,4,22.086757
7,8,25.161664
7,16,13.081643
7,32,12.794268
8,1,20.305393
8,2,28.695228
8,4,26.321331
8,8,24.207214
8,16,21.935116
8,32,13.095004
9,1,15.908874
9,2,14.659317
9,4,12.577667
9,8,11.210888
9,16,9.730277
9,32,7.734610
10,1,16.557388
10,2,14.382902
10,4,14.088476
10,8,10.568925
10,16,8.009932
10,32,5.360924
11,1,14.955060
11,2,11.692351
11,4,9.216165
11,8,6.398935
11,16,4.450913
11,32,2.777670
12,1,11.904195
12,2,9.244536
12,4,6.674231
12,8,4.288716
12,16,2.629240
12,32,1.505419
13,1,9.158516
13,2,6.654511
13,4,4.381756
13,8,2.552922
13,16,1.452148
13,32,0.779255
14,1,6.656327
14,2,4.353846
14,4,2.602418
14,8,1.429417
14,16,0.768609
14,32,0.386805
15,1,4.262447
15,2,2.572592
15,4,1.423526
15,8,0.754387
15,16,0.393979
15,32,0.202015
16,1,2.516128
16,2,1.418060
16,4,0.745639
16,8,0.387842
16,16,0.199763
16,32,0.101633
17,1,1.392083
17,2,0.740025
17,4,0.383380
17,8,0.197114
17,16,0.101485
17,32,0.051218
18,1,0.720891
18,2,0.380011
18,4,0.198195
18,8,0.101089
18,16,0.051762
18,32,0.025970
