HashBits,Threads,Throughput (MTPS)
1,1,17.195722
1,2,12.640787
1,4,14.187013
1,8,13.875784
1,16,14.626512
1,32,15.154270
2,1,16.667778
2,2,14.222323
2,4,13.565576
2,8,14.884275
2,16,16.158743
2,32,16.016401
3,1,17.093725
3,2,15.512775
3,4,15.098442
3,8,15.636972
3,16,16.110583
3,32,16.715979
4,1,18.091034
4,2,15.630862
4,4,15.476762
4,8,15.984144
4,16,16.670834
4,32,17.678152
5,1,18.514747
5,2,14.286327
5,4,14.279187
5,8,14.302469
5,16,14.671577
5,32,16.736962
6,1,17.783152
6,2,14.223537
6,4,14.281634
6,8,14.828435
6,16,16.434124
6,32,12.688101
7,1,17.724840
7,2,14.012078
7,4,14.788305
7,8,14.849133
7,16,14.191443
7,32,10.947866
8,1,22.365861
8,2,21.580560
8,4,23.162088
8,8,21.128695
8,16,23.031392
8,32,12.132094
9,1,17.783152
9,2,14.798153
9,4,12.987182
9,8,11.306206
9,16,9.830618
9,32,7.553098
10,1,19.050885
10,2,12.589226
10,4,11.966446
10,8,9.974963
10,16,7.269925
10,32,4.694593
11,1,16.693097
11,2,10.056518
11,4,8.412552
11,8,6.254300
11,16,4.225043
11,32,2.642692
12,1,12.571817
12,2,7.670535
12,4,5.915970
12,8,3.984016
12,16,2.514509
12,32,1.458966
13,1,9.983328
13,2,5.659694
13,4,3.970223
13,8,2.444008
13,16,1.408383
13,32,0.761555
14,1,6.838215
14,2,3.836857
14,4,2.417871
14,8,1.371505
14,16,0.745589
14,32,0.393179
15,1,4.421316
15,2,2.377415
15,4,1.368783
15,8,0.730068
15,16,0.388167
15,32,0.200947
16,1,2.591674
16,2,1.352664
16,4,0.731815
16,8,0.383891
16,16,0.199748
16,32,0.102150
17,1,1.402676
17,2,0.715941
17,4,0.378777
17,8,0.197837
17,16,0.101704
17,32,0.051785
18,1,0.722063
18,2,0.374540
18,4,0.196980
18,8,0.101293
18,16,0.051678
18,32,0.026128
