HashBits,Threads,Throughput (MTPS)
1,1,15.183723
1,2,13.178182
1,4,11.571529
1,8,12.313906
1,16,12.820020
1,32,14.839217
2,1,14.812620
2,2,13.194005
2,4,13.213181
2,8,13.133184
2,16,13.247490
2,32,15.054120
3,1,17.560804
3,2,14.601524
3,4,13.102382
3,8,13.356128
3,16,13.073433
3,32,15.442584
4,1,18.110037
4,2,14.752744
4,4,12.954710
4,8,13.085408
4,16,13.861935
4,32,15.275571
5,1,19.033842
5,2,16.475550
5,4,16.304171
5,8,14.541013
5,16,12.161160
5,32,12.498438
6,1,16.722688
6,2,13.773346
6,4,13.488178
6,8,14.142671
6,16,11.874933
6,32,13.421378
7,1,18.375597
7,2,14.114127
7,4,15.541948
7,8,15.993603
7,16,11.004732
7,32,10.740908
8,1,23.028210
8,2,26.459926
8,4,30.545543
8,8,24.628115
8,16,20.860713
8,32,12.119156
9,1,23.975066
9,2,19.182076
9,4,14.870331
9,8,12.846700
9,16,8.262073
9,32,6.982509
10,1,17.622387
10,2,17.298045
10,4,15.542672
10,8,12.379302
10,16,6.689500
10,32,4.929824
11,1,17.003333
11,2,13.423900
11,4,10.186411
11,8,6.936448
11,16,3.932858
11,32,2.580246
12,1,12.974544
12,2,9.689829
12,4,7.265805
12,8,4.669232
12,16,2.423120
12,32,1.421707
13,1,9.476607
13,2,6.881318
13,4,4.471072
13,8,2.678897
13,16,1.370892
13,32,0.756713
14,1,6.691067
14,2,4.401602
14,4,2.640111
14,8,1.455229
14,16,0.727368
14,32,0.387044
15,1,4.449131
15,2,2.613040
15,4,1.447993
15,8,0.759955
15,16,0.378610
15,32,0.198253
16,1,2.606780
16,2,1.439686
16,4,0.751923
16,8,0.388427
16,16,0.195272
16,32,0.101251
17,1,1.405558
17,2,0.741715
17,4,0.386728
17,8,0.199205
17,16,0.100357
17,32,0.051417
18,1,0.723010
18,2,0.379929
18,4,0.197689
18,8,0.101386
18,16,0.051128
18,32,0.025975
