HashBits,Threads,Throughput (MTPS)
1,1,12.757543
1,2,11.924068
1,4,11.806794
1,8,14.600032
1,16,13.073092
1,32,15.457862
2,1,15.445685
2,2,11.790645
2,4,12.061126
2,8,13.848881
2,16,13.045804
2,32,12.734473
3,1,14.894251
3,2,13.188262
3,4,11.752815
3,8,12.437037
3,16,13.084724
3,32,15.345426
4,1,15.513015
4,2,13.776192
4,4,11.987389
4,8,14.767122
4,16,17.267578
4,32,16.348952
5,1,16.180968
5,2,12.600330
5,4,11.972463
5,8,12.900562
5,16,13.853102
5,32,15.615240
6,1,15.111904
6,2,13.002887
6,4,11.006307
6,8,12.975217
6,16,14.692486
6,32,18.048913
7,1,22.956841
7,2,25.179403
7,4,25.360114
7,8,28.551850
7,16,34.434076
7,32,17.193061
8,1,27.554282
8,2,27.643400
8,4,28.509522
8,8,24.919013
8,16,11.861974
8,32,11.312089
9,1,15.349194
9,2,15.203345
9,4,12.609068
9,8,12.251599
9,16,10.906434
9,32,7.957475
10,1,15.986188
10,2,13.665309
10,4,12.330912
10,8,10.713980
10,16,7.954057
10,32,5.077457
11,1,14.112932
11,2,10.828722
11,4,8.620467
11,8,6.785319
11,16,4.576135
11,32,2.702170
12,1,10.915839
12,2,8.565604
12,4,6.338582
12,8,4.335743
12,16,2.657617
12,32,1.435800
13,1,9.742506
13,2,6.651944
13,4,4.380240
13,8,2.675270
13,16,1.477164
13,32,0.784956
14,1,6.599179
14,2,4.309583
14,4,2.626464
14,8,1.477635
14,16,0.761542
14,32,0.396284
15,1,4.350209
15,2,2.581478
15,4,1.436786
15,8,0.758091
15,16,0.392444
15,32,0.203562
16,1,2.554970
16,2,1.423022
16,4,0.748751
16,8,0.390569
16,16,0.201905
16,32,0.102971
17,1,1.397134
17,2,0.741629
17,4,0.384051
17,8,0.200359
17,16,0.101102
17,32,0.051615
18,1,0.721960
18,2,0.378885
18,4,0.197826
18,8,0.102002
18,16,0.050564
18,32,0.025757
