HashBits,Threads,Throughput (MTPS)
1,1,15.338129
1,2,11.222589
1,4,11.224730
1,8,9.431560
1,16,10.975623
1,32,12.891416
2,1,14.212621
2,2,11.192944
2,4,11.165948
2,8,10.854346
2,16,12.045145
2,32,11.379671
3,1,14.348849
3,2,12.236308
3,4,12.392342
3,8,11.085000
3,16,10.249262
3,32,12.673789
4,1,15.243902
4,2,12.429463
4,4,11.029006
4,8,11.688797
4,16,10.421769
4,32,11.981070
5,1,15.156567
5,2,11.585875
5,4,11.019162
5,8,10.894196
5,16,12.483304
5,32,11.675014
6,1,15.758454
6,2,12.338824
6,4,11.148023
6,8,11.061213
6,16,11.521136
6,32,10.573395
7,1,22.248921
7,2,24.442109
7,4,20.696649
7,8,21.441743
7,16,24.152256
7,32,13.697317
8,1,21.281124
8,2,23.720853
8,4,23.084559
8,8,23.093622
8,16,22.654162
8,32,10.277387
9,1,14.796839
9,2,14.259640
9,4,12.109030
9,8,10.588509
9,16,9.218459
9,32,6.118491
10,1,16.956337
10,2,14.161899
10,4,13.055342
10,8,10.404961
10,16,7.304495
10,32,4.300077
11,1,16.504101
11,2,11.249606
11,4,9.345707
11,8,6.667378
11,16,4.368243
11,32,2.395330
12,1,11.932889
12,2,8.845174
12,4,6.495194
12,8,4.275807
12,16,2.606060
12,32,1.321060
13,1,9.411676
13,2,6.373283
13,4,4.255482
13,8,2.578788
13,16,1.439342
13,32,0.717685
14,1,6.537187
14,2,4.190588
14,4,2.572506
14,8,1.438269
14,16,0.757080
14,32,0.374320
15,1,4.302945
15,2,2.537292
15,4,1.396789
15,8,0.743366
15,16,0.380243
15,32,0.190822
16,1,2.426177
16,2,1.427183
16,4,0.750596
16,8,0.388435
16,16,0.194447
16,32,0.098991
17,1,1.400435
17,2,0.744531
17,4,0.385535
17,8,0.199052
17,16,0.100469
17,32,0.050734
18,1,0.718703
18,2,0.378871
18,4,0.197876
18,8,0.101575
18,16,0.051210
18,32,0.025712
