HashBits,Threads,Throughput (MTPS)
1,1,17.322616
1,2,14.652873
1,4,14.188624
1,8,18.748711
1,16,16.761649
1,32,19.749185
2,1,17.706636
2,2,15.972145
2,4,15.600867
2,8,15.717339
2,16,18.193065
2,32,21.167157
3,1,17.459015
3,2,16.968998
3,4,18.202669
3,8,18.653932
3,16,21.103725
3,32,23.776124
4,1,19.566791
4,2,18.826719
4,4,18.784987
4,8,19.144985
4,16,20.743445
4,32,22.437120
5,1,19.631709
5,2,19.052700
5,4,18.899305
5,8,19.021532
5,16,21.957753
5,32,22.889057
6,1,18.260171
6,2,18.209629
6,4,18.247176
6,8,17.823088
6,16,20.003201
6,32,19.800020
7,1,26.276375
7,2,32.274722
7,4,32.827785
7,8,34.821366
7,16,40.355125
7,32,27.612868
8,1,31.500032
8,2,32.357224
8,4,33.746161
8,8,34.335943
8,16,36.354383
8,32,20.378635
9,1,31.680659
9,2,32.408608
9,4,34.102923
9,8,24.932060
9,16,18.359404
9,32,9.018271
10,1,19.506866
10,2,17.704755
10,4,16.956912
10,8,13.097234
10,16,9.087357
10,32,5.802584
11,1,17.010274
11,2,13.602481
11,4,10.692443
11,8,7.614638
11,16,4.942030
11,32,2.875770
12,1,13.056023
12,2,10.249682
12,4,7.322735
12,8,4.735701
12,16,2.820182
12,32,1.540630
13,1,9.967903
13,2,7.150416
13,4,4.606766
13,8,2.746792
13,16,1.513885
13,32,0.795180
14,1,6.940733
14,2,4.515203
14,4,2.678617
14,8,1.480015
14,16,0.784960
14,32,0.402893
15,1,4.407597
15,2,2.643747
15,4,1.452184
15,8,0.770757
15,16,0.399499
15,32,0.203930
16,1,2.596351
16,2,1.436396
16,4,0.750680
16,8,0.394098
16,16,0.203048
16,32,0.103272
17,1,1.408260
17,2,0.742433
17,4,0.387752
17,8,0.201074
17,16,0.102836
17,32,0.052108
18,1,0.719301
18,2,0.369336
18,4,0.194592
18,8,0.102061
18,16,0.051955
18,32,0.026159
